CustomerID,CustomerName,Email,FirstOrder,LastOrder,Orders
CUST0001,Sofia Garcia,sofia.garcia@example.com,2025-04-01,2025-04-01,1
CUST0002,Leila Patel,leila.patel@example.com,2025-04-01,2025-04-01,1
CUST0003,Isabella Davis,isabella.davis@example.com,2025-04-01,2025-04-01,1
CUST0004,Isabella Johnson,isabella.johnson@example.com,2025-04-01,2025-04-01,1
CUST0005,Sofia Garcia,sofia.garcia@example.com,2025-04-01,2025-04-01,1
CUST0006,Leila Patel,leila.patel@example.com,2025-04-01,2025-04-01,1
CUST0007,Isabella Davis,isabella.davis@example.com,2025-04-01,2025-04-01,1
CUST0008,Isabella Johnson,isabella.johnson@example.com,2025-04-01,2025-04-01,1
CUST0009,Jamal Smith,jamal.smith@example.com,2025-04-02,2025-04-02,1
CUST0010,Chloe Khan,chloe.khan@example.com,2025-04-03,2025-04-03,1
CUST0011,Emily Brown,emily.brown@example.com,2025-04-03,2025-04-03,1
CUST0012,Hassan Davis,hassan.davis@example.com,2025-04-03,2025-04-03,1
CUST0013,Priya Garcia,priya.garcia@example.com,2025-04-04,2025-04-04,1
CUST0014,Leila Young,leila.young@example.com,2025-04-05,2025-04-05,1
CUST0015,Linh Ramirez,linh.ramirez@example.com,2025-04-05,2025-04-05,1
CUST0016,Leila Ramirez,leila.ramirez@example.com,2025-04-06,2025-04-06,1
CUST0017,Miguel Wilson,miguel.wilson@example.com,2025-04-06,2025-04-06,1
CUST0018,Raj Wilson,raj.wilson@example.com,2025-04-07,2025-04-07,1
CUST0019,Mateo Martinez,mateo.martinez@example.com,2025-04-08,2025-04-08,1
CUST0020,Tariq Kim,tariq.kim@example.com,2025-04-08,2025-04-08,1
CUST0021,Chloe Nguyen,chloe.nguyen@example.com,2025-04-08,2025-04-08,1
CUST0022,Mei Khan,mei.khan@example.com,2025-04-09,2025-04-09,1
CUST0023,Sofia Lee,sofia.lee@example.com,2025-04-10,2025-04-10,1
CUST0024,Chloe Lopez,chloe.lopez@example.com,2025-04-10,2025-04-10,1
CUST0025,Emily Brown,emily.brown@example.com,2025-04-10,2025-04-10,1
CUST0026,Priya Garcia,priya.garcia@example.com,2025-04-11,2025-04-11,1
CUST0027,Daniel Kim,daniel.kim@example.com,2025-04-11,2025-04-11,1
CUST0028,Daniel Wang,daniel.wang@example.com,2025-04-11,2025-04-11,1
CUST0029,Leila Ramirez,leila.ramirez@example.com,2025-04-11,2025-04-11,1
CUST0030,Linh Ramirez,linh.ramirez@example.com,2025-04-11,2025-04-11,1
CUST0031,Sofia Smith,sofia.smith@example.com,2025-04-11,2025-04-11,1
CUST0032,Mei Patel,mei.patel@example.com,2025-04-11,2025-04-11,1
CUST0033,Daniel Lopez,daniel.lopez@example.com,2025-04-11,2025-04-11,1
CUST0034,Tariq Wang,tariq.wang@example.com,2025-04-11,2025-04-11,1
CUST0035,Jamal Smith,jamal.smith@example.com,2025-04-11,2025-04-11,1
CUST0036,Noah Moore,noah.moore@example.com,2025-04-11,2025-04-11,1
CUST0037,Raj Kim,raj.kim@example.com,2025-04-11,2025-04-11,1
CUST0038,Mateo Kim,mateo.kim@example.com,2025-04-11,2025-04-11,1
CUST0039,Isabella Davis,isabella.davis@example.com,2025-04-11,2025-04-11,1
CUST0040,Leila Nguyen,leila.nguyen@example.com,2025-04-11,2025-04-11,1
CUST0041,Chloe Lopez,chloe.lopez@example.com,2025-04-11,2025-04-11,1
CUST0042,Priya Wilson,priya.wilson@example.com,2025-04-11,2025-04-11,1
CUST0043,Mateo Moore,mateo.moore@example.com,2025-04-11,2025-04-11,1
CUST0044,Chloe Lopez,chloe.lopez@example.com,2025-04-11,2025-04-11,1
CUST0045,Leila Nguyen,leila.nguyen@example.com,2025-04-12,2025-04-12,1
CUST0046,Daniel Nguyen,daniel.nguyen@example.com,2025-04-12,2025-04-12,1
CUST0047,Chloe Khan,chloe.khan@example.com,2025-04-12,2025-04-12,1
CUST0048,Hassan Young,hassan.young@example.com,2025-04-12,2025-04-12,1
CUST0049,Chloe Moore,chloe.moore@example.com,2025-04-12,2025-04-12,1
CUST0050,Raj Kim,raj.kim@example.com,2025-04-12,2025-04-12,1
CUST0051,Miguel Ali,miguel.ali@example.com,2025-04-12,2025-04-12,1
CUST0052,Linh Ramirez,linh.ramirez@example.com,2025-04-12,2025-04-12,1
CUST0053,Mei Khan,mei.khan@example.com,2025-04-12,2025-04-12,1
CUST0054,Leila Patel,leila.patel@example.com,2025-04-12,2025-04-12,1
CUST0055,Hassan Young,hassan.young@example.com,2025-04-12,2025-04-12,1
CUST0056,Daniel Lopez,daniel.lopez@example.com,2025-04-12,2025-04-12,1
CUST0057,Chloe Nguyen,chloe.nguyen@example.com,2025-04-12,2025-04-12,1
CUST0058,Miguel Wilson,miguel.wilson@example.com,2025-04-12,2025-04-12,1
CUST0059,Tariq Ali,tariq.ali@example.com,2025-04-12,2025-04-12,1
CUST0060,Chloe Khan,chloe.khan@example.com,2025-04-12,2025-04-12,1
CUST0061,Mateo Moore,mateo.moore@example.com,2025-04-12,2025-04-12,1
CUST0062,Leila Brown,leila.brown@example.com,2025-04-12,2025-04-12,1
CUST0063,Jamal Moore,jamal.moore@example.com,2025-04-12,2025-04-12,1
CUST0064,Hassan Kim,hassan.kim@example.com,2025-04-13,2025-04-13,1
CUST0065,Linh Ramirez,linh.ramirez@example.com,2025-04-13,2025-04-13,1
CUST0066,Leila Moore,leila.moore@example.com,2025-04-13,2025-04-13,1
CUST0067,Daniel Nguyen,daniel.nguyen@example.com,2025-04-13,2025-04-13,1
CUST0068,Daniel Lopez,daniel.lopez@example.com,2025-04-13,2025-04-13,1
CUST0069,Miguel Smith,miguel.smith@example.com,2025-04-13,2025-04-13,1
CUST0070,Mateo Wang,mateo.wang@example.com,2025-04-13,2025-04-13,1
CUST0071,Mei Patel,mei.patel@example.com,2025-04-13,2025-04-13,1
CUST0072,Chloe Smith,chloe.smith@example.com,2025-04-13,2025-04-13,1
CUST0073,Isabella Anderson,isabella.anderson@example.com,2025-04-13,2025-04-13,1
CUST0074,Miguel Ali,miguel.ali@example.com,2025-04-13,2025-04-13,1
CUST0075,Isabella Anderson,isabella.anderson@example.com,2025-04-13,2025-04-13,1
CUST0076,Chloe Khan,chloe.khan@example.com,2025-04-14,2025-04-14,1
CUST0077,Raj Wilson,raj.wilson@example.com,2025-04-14,2025-04-14,1
CUST0078,Chloe Smith,chloe.smith@example.com,2025-04-14,2025-04-14,1
CUST0079,Chloe Moore,chloe.moore@example.com,2025-04-14,2025-04-14,1
CUST0080,Mateo Kim,mateo.kim@example.com,2025-04-14,2025-04-14,1
CUST0081,Sofia Smith,sofia.smith@example.com,2025-04-14,2025-04-14,1
CUST0082,Mateo Khan,mateo.khan@example.com,2025-04-14,2025-04-14,1
CUST0083,Linh Ramirez,linh.ramirez@example.com,2025-04-14,2025-04-14,1
CUST0084,Jamal Smith,jamal.smith@example.com,2025-04-14,2025-04-14,1
CUST0085,Aisha Davis,aisha.davis@example.com,2025-04-14,2025-04-14,1
CUST0086,Tariq Lee,tariq.lee@example.com,2025-04-14,2025-04-14,1
CUST0087,Grace Martinez,grace.martinez@example.com,2025-04-14,2025-04-14,1
CUST0088,Hassan Johnson,hassan.johnson@example.com,2025-04-15,2025-04-15,1
CUST0089,Sofia Garcia,sofia.garcia@example.com,2025-04-15,2025-04-15,1
CUST0090,Jamal Smith,jamal.smith@example.com,2025-04-15,2025-04-15,1
CUST0091,Daniel Lopez,daniel.lopez@example.com,2025-04-15,2025-04-15,1
CUST0092,Mateo Kim,mateo.kim@example.com,2025-04-15,2025-04-15,1
CUST0093,Daniel Nguyen,daniel.nguyen@example.com,2025-04-15,2025-04-15,1
CUST0094,Noah Moore,noah.moore@example.com,2025-04-15,2025-04-15,1
CUST0095,Isabella Lee,isabella.lee@example.com,2025-04-15,2025-04-15,1
CUST0096,Daniel Nguyen,daniel.nguyen@example.com,2025-04-15,2025-04-15,1
CUST0097,Daniel Wang,daniel.wang@example.com,2025-04-15,2025-04-15,1
CUST0098,Tariq Lee,tariq.lee@example.com,2025-04-15,2025-04-15,1
CUST0099,Leila Patel,leila.patel@example.com,2025-04-15,2025-04-15,1
CUST0100,Leila Nguyen,leila.nguyen@example.com,2025-04-15,2025-04-15,1
CUST0101,Chloe Moore,chloe.moore@example.com,2025-04-15,2025-04-15,1
CUST0102,Isabella Johnson,isabella.johnson@example.com,2025-04-15,2025-04-15,1
CUST0103,Grace Khan,grace.khan@example.com,2025-04-15,2025-04-15,1
CUST0104,Leila Nguyen,leila.nguyen@example.com,2025-04-16,2025-04-16,1
CUST0105,Noah Anderson,noah.anderson@example.com,2025-04-16,2025-04-16,1
CUST0106,Leila Moore,leila.moore@example.com,2025-04-16,2025-04-16,1
CUST0107,Tariq Wang,tariq.wang@example.com,2025-04-16,2025-04-16,1
CUST0108,Hassan Davis,hassan.davis@example.com,2025-04-16,2025-04-16,1
CUST0109,Aisha Ramirez,aisha.ramirez@example.com,2025-04-16,2025-04-16,1
CUST0110,Mateo Nguyen,mateo.nguyen@example.com,2025-04-16,2025-04-16,1
CUST0111,Raj Wang,raj.wang@example.com,2025-04-16,2025-04-16,1
CUST0112,Daniel Lopez,daniel.lopez@example.com,2025-04-16,2025-04-16,1
CUST0113,Leila Chen,leila.chen@example.com,2025-04-16,2025-04-16,1
CUST0114,Noah Anderson,noah.anderson@example.com,2025-04-16,2025-04-16,1
CUST0115,Hassan Young,hassan.young@example.com,2025-04-16,2025-04-16,1
CUST0116,Daniel Wang,daniel.wang@example.com,2025-04-16,2025-04-16,1
CUST0117,Tariq Wang,tariq.wang@example.com,2025-04-16,2025-04-16,1
CUST0118,Isabella Davis,isabella.davis@example.com,2025-04-16,2025-04-16,1
CUST0119,Jamal Smith,jamal.smith@example.com,2025-04-16,2025-04-16,1
CUST0120,Aisha Ramirez,aisha.ramirez@example.com,2025-04-16,2025-04-16,1
CUST0121,Linh Ramirez,linh.ramirez@example.com,2025-04-16,2025-04-16,1
CUST0122,Priya Wilson,priya.wilson@example.com,2025-04-16,2025-04-16,1
CUST0123,Noah Wang,noah.wang@example.com,2025-04-16,2025-04-16,1
CUST0124,Jin Ramirez,jin.ramirez@example.com,2025-04-16,2025-04-16,1
CUST0125,Emily Kim,emily.kim@example.com,2025-04-17,2025-04-17,1
CUST0126,Linh Ramirez,linh.ramirez@example.com,2025-04-17,2025-04-17,1
CUST0127,Mateo Wang,mateo.wang@example.com,2025-04-17,2025-04-17,1
CUST0128,Kenji Kim,kenji.kim@example.com,2025-04-17,2025-04-17,1
CUST0129,Miguel Davis,miguel.davis@example.com,2025-04-17,2025-04-17,1
CUST0130,Kenji Wilson,kenji.wilson@example.com,2025-04-17,2025-04-17,1
CUST0131,Isabella Anderson,isabella.anderson@example.com,2025-04-17,2025-04-17,1
CUST0132,Leila Moore,leila.moore@example.com,2025-04-17,2025-04-17,1
CUST0133,Emily Kim,emily.kim@example.com,2025-04-17,2025-04-17,1
CUST0134,Leila Ramirez,leila.ramirez@example.com,2025-04-17,2025-04-17,1
CUST0135,Hassan Young,hassan.young@example.com,2025-04-17,2025-04-17,1
CUST0136,Mei Patel,mei.patel@example.com,2025-04-17,2025-04-17,1
CUST0137,Raj Wang,raj.wang@example.com,2025-04-17,2025-04-17,1
CUST0138,Priya Lee,priya.lee@example.com,2025-04-17,2025-04-17,1
CUST0139,Noah Wang,noah.wang@example.com,2025-04-17,2025-04-17,1
CUST0140,Chloe Moore,chloe.moore@example.com,2025-04-17,2025-04-17,1
CUST0141,Leila Young,leila.young@example.com,2025-04-17,2025-04-17,1
CUST0142,Tariq Lee,tariq.lee@example.com,2025-04-17,2025-04-17,1
CUST0143,Aisha Ramirez,aisha.ramirez@example.com,2025-04-18,2025-04-18,1
